country,year,co2,co2_per_capita,coal_co2,oil_co2,gas_co2,population,Code,gdp_per_capita,renewable_energy_consumption,co2_intensity_gdp,co2_growth,gdp_growth,renewable_growth,renewable_share
Mexico,2019,468.236,3.723,45.268,238.026,157.1,125762928,MEX,21964.354,6.6410456,0.02131799551218306,-0.0003778716645354008,-0.013346204606526246,0.04705716285846173,0.013984768608070198
Mexico,2020,428.94,3.383,33.705,204.105,160.951,126798998,MEX,19964.967,8.668187,0.02148463355837252,-0.0839234915726258,-0.09102871862291051,0.3052443127329225,0.019808100619470356
Mexico,2021,446.834,3.501,29.22,219.977,165.839,127648107,MEX,21031.709,9.537886,0.021245729483990103,0.04171679022707142,0.05343069187141647,0.10033228401740768,0.02089937240349639
Mexico,2022,465.336,3.618,35.958,235.344,164.588,128613066,MEX,21643.973,9.242802,0.021499564798015593,0.04140687593155401,0.029111471635519637,-0.0309380925710373,0.01947580035401581
Mexico,2023,482.623,3.72,38.865,238.041,176.579,129739713,MEX,22142.607,7.9276714,0.021796123645241954,0.03714950057592792,0.023038006931537014,-0.142287003443328,0.01616075945299379
Morocco,1990,22.298,0.915,4.221,16.125,0.11,24375508,MAR,4418.66,4.1058965,0.005046326261807879,,,,0.15550343109396753
Morocco,1991,23.688,0.955,4.874,16.227,0.073,24798965,MAR,4656.126,4.074406,0.005087491189027101,0.06233742936586251,0.053741632078503576,-0.007669579591205067,0.14675983054206468
Morocco,1992,24.737,0.981,4.184,17.76,0.048,25212419,MAR,4483.2495,2.860673,0.005517649642296285,0.04428402566700429,-0.03712882769925052,-0.2978920117435523,0.10365631189267298
Morocco,1993,26.779,1.045,4.763,19.237,0.048,25614533,MAR,4379.764,1.2996103,0.006114256384590585,0.08254840926547291,-0.023082699278726193,-0.5456977081966377,0.04628470875568938
Morocco,1994,28.124,1.082,5.309,20.057,0.044,26000781,MAR,4771.093,2.2370532,0.0058946660649876245,0.0502259232981066,0.08934933480434104,0.7213261544633802,0.073681673203616
Morocco,1995,28.75,1.089,6.314,19.693,0.026,26399383,MAR,4444.2285,1.6583773,0.006469064315662437,0.022258569193571276,-0.06850935414589476,-0.25867775518257685,0.054536856197190106
Morocco,1996,29.525,1.101,8.051,18.663,0.033,26808063,MAR,4916.48,5.091763,0.0060053127440770635,0.026956521739130324,0.10626175049280184,2.0703284469704215,0.14708951845093085
Morocco,1997,29.978,1.102,7.682,19.197,0.066,27213289,MAR,4766.1104,5.213629,0.006289824927261442,0.015342929720575826,-0.030584808643582373,0.02393394979302843,0.14814969207591955
Morocco,1998,30.881,1.118,8.57,19.159,0.066,27621589,MAR,5033.9233,4.3339806,0.006134578967462614,0.03012208953232376,0.05619108193549205,-0.16872094274448757,0.12307207120824028
Morocco,1999,31.986,1.141,8.295,20.5,0.077,28027140,MAR,5043.665,1.9364423,0.0063418169128996475,0.03578251999611415,0.0019352102563818807,-0.5531954388536027,0.05708440102498162
Morocco,2000,33.199,1.168,10.028,19.756,0.088,28423380,MAR,5100.1157,1.8514851,0.006509460167736978,0.03792284124304368,0.01119239679875661,-0.04387282802074699,0.05282338018197644
Morocco,2001,36.806,1.277,12.773,19.87,0.084,28814598,MAR,5417.5786,2.3284373,0.006793810061195974,0.10864785083888062,0.06224621531625241,0.2576052056805642,0.059498422889039476
Morocco,2002,37.306,1.278,13.105,19.985,0.084,29198087,MAR,5544.072,2.1849256,0.0067289890896077825,0.013584741618214435,0.023348696777560463,-0.06163434162474546,0.05532728257957064
